,artist,master_genre
294,Fergie,Pop music
295,Kardinal Offishall,Hip hop
296,Metro Station,Punk rock
297,M.I.A.,Pop music
298,Plies,Hip hop
299,Estelle,Pop music
300,Danity Kane,Pop music
301,Buckcherry,Heavy metal
302,Webbie,Hip hop
303,Snoop Dogg,Hip hop
304,Colby O’Donis,Pop music
305,3 Doors Down,Heavy metal
306,Wyclef Jean,Hip hop
307,Secondhand Serenade,Pop music
308,John Mayer,Pop music
309,J. Holiday,Pop music
310,David Banner,Hip hop
311,Young Jeezy,Hip hop
312,David Cook,Pop music
313,Three 6 Mafia,Hip hop
314,Baby Bash,Hip hop
315,Jonas Brothers,Pop music
316,David Archuleta,Pop music
317,Mary J. Blige,Pop music
318,Rick Ross,Hip hop
319,Kid Rock,Heavy metal
320,The Game,Hip hop
321,Keyshia Cole,Pop music
322,Trace Adkins,Country music
323,Gavin Rossdale,Alternative rock
324,Saving Abel,Heavy metal
325,Santana,Rock music
326,2 Pistols,Hip hop
327,Gwen Stefani,Pop music
328,Plain White T’s,Pop music
329,Nelly Furtado,Pop music
330,Shop Boyz,Hip hop
331,Mims,Hip hop
332,Jim Jones,Hip hop
333,Unk,Hip hop
334,Huey,Hip hop
335,Lloyd,Pop music
336,Elliott Yamin,Pop music
337,Diddy,Pop music
338,Hinder,Heavy metal
339,R. Kelly Or Bow Wow (feat. T.I. & T-Pain),Pop music
340,The Red Jumpsuit Apparatus,Fusion music
341,Baby Boy Da Prince,Hip hop
342,Bow Wow,Hip hop
343,Hurricane Chris,Hip hop
344,Bone Thugs-N-Harmony,Hip hop
345,My Chemical Romance,Punk rock
346,Snow Patrol,Rock music
347,Rich Boy,Hip hop
348,Amy Winehouse,Pop music
349,Paula DeAnda,Pop music
350,Hellogoodbye,Pop music
351,Pretty Ricky,Pop music
352,Lifehouse,Alternative rock
353,50 Cent,Hip hop
354,Red Hot Chili Peppers,Heavy metal
355,Crime Mob,Hip hop
356,Daniel Powter,Pop music
357,Sean Paul,Pop music
358,James Blunt,Pop music
359,Gnarls Barkley,Pop music
360,Chamillionaire,Hip hop
361,Cassie,Pop music
362,Yung Joc,Hip hop
363,Panic! At The Disco,Alternative rock
364,Lil Jon,Hip hop
