,genres,artist_img,song_uri,song_pop,artist_pop,exact_song_match,search_dict,artist_uri,preview_url,duration_ms,acousticness,energy,instrumentalness,key,converted_keys,liveness,loudness,tempo,valence,danceability,ARTIST,THEME,SPOTIFY_URL,TITLE,YEAR
760,[],https://i.scdn.co/image/16ee9b5d682fe69f613de131c20273f3fa5cbb71,spotify:track:5f38UWziNmvOjdMHvwxsL9,38.0,51.0,True,"{'acousticness': 0.836, 'genres': [], 'artist_img': u'https://i.scdn.co/image/16ee9b5d682fe69f613de131c20273f3fa5cbb71', 'song_uri': u'spotify:track:5f38UWziNmvOjdMHvwxsL9', 'exact_song_match': True, 'song_name': u'D-I-V-O-R-C-E', 'liveness': 0.154, 'tempo': 99.353, 'preview_url': u'https://p.scdn.co/mp3-preview/969535c98af39eea80d72d72365111d845c47d4e', 'artist_name': u'Tammy Wynette', 'artist_uri': u'spotify:artist:1LFKKuzn302wp15dYH28id', 'song_pop': 38, 'artist_pop': 51, 'instrumentalness': 0, 'key': 9, 'duration_ms': 175253, 'loudness': -11.332, 'valence': 0.567, 'energy': 0.33, 'danceability': 0.619}",spotify:artist:1LFKKuzn302wp15dYH28id,https://p.scdn.co/mp3-preview/969535c98af39eea80d72d72365111d845c47d4e,175253.0,0.836,0.33,0.0,9.0,A,0.154,-11.332,99.353,0.567,0.619,Tammy Wynette,Heartbreak,,D-I-V-O-R-C-E,1968
761,[],https://i.scdn.co/image/59fcddff6a30baf1df90e3cf23a8e16d3989a65b,spotify:track:0f798jZ9aYI34zo4lchKd0,53.0,66.0,True,"{'acousticness': 0.178, 'genres': [], 'artist_img': u'https://i.scdn.co/image/59fcddff6a30baf1df90e3cf23a8e16d3989a65b', 'song_uri': u'spotify:track:0f798jZ9aYI34zo4lchKd0', 'exact_song_match': True, 'song_name': u'Shout', 'liveness': 0.122, 'tempo': 97.91, 'preview_url': u'https://p.scdn.co/mp3-preview/a1c7160689729ceae86387b2ec07cffb3a40f1d6', 'artist_name': u'Tears For Fears', 'artist_uri': u'spotify:artist:4bthk9UfsYUYdcFyqxmSUU', 'song_pop': 53, 'artist_pop': 66, 'instrumentalness': 3.45e-05, 'key': 0, 'duration_ms': 392675, 'loudness': -11.138, 'valence': 0.513, 'energy': 0.933, 'danceability': 0.505}",spotify:artist:4bthk9UfsYUYdcFyqxmSUU,https://p.scdn.co/mp3-preview/a1c7160689729ceae86387b2ec07cffb3a40f1d6,392675.0,0.178,0.933,3.45e-05,0.0,C,0.122,-11.138,97.91,0.513,0.505,Tears for Fears,Party songs,http://open.spotify.com/track/4E1n2cvH7Wb7xZ568rHHNy,Shout,1984
762,[],https://i.scdn.co/image/f889ab517f9feea31a7bc70cff49eef553b5c3b5,spotify:track:0X3d9gx7UDYgcwwkgTeNLR,42.0,43.0,True,"{'acousticness': 0.777, 'genres': [], 'artist_img': u'https://i.scdn.co/image/f889ab517f9feea31a7bc70cff49eef553b5c3b5', 'song_uri': u'spotify:track:0X3d9gx7UDYgcwwkgTeNLR', 'exact_song_match': True, 'song_name': u'Seasons in the Sun', 'liveness': 0.175, 'tempo': 98.949, 'preview_url': u'https://p.scdn.co/mp3-preview/86e308e959e422c59104910bdf983c618ee6ab9e', 'artist_name': u'Terry Jacks', 'artist_uri': u'spotify:artist:09dDdtfi4mWLdC2BHOrIrl', 'song_pop': 42, 'artist_pop': 43, 'instrumentalness': 0, 'key': 6, 'duration_ms': 209346, 'loudness': -8.306, 'valence': 0.834, 'energy': 0.611, 'danceability': 0.678}",spotify:artist:09dDdtfi4mWLdC2BHOrIrl,https://p.scdn.co/mp3-preview/86e308e959e422c59104910bdf983c618ee6ab9e,209346.0,0.777,0.611,0.0,6.0,F#,0.175,-8.306,98.949,0.834,0.678,Terry Jacks,Life and death,,Seasons in the Sun,1974
763,[],https://i.scdn.co/image/b68f1f5e71a2af8bfff491edd53ab134422586ce,spotify:track:25L7DvNU798tfl5SgKgnt1,40.0,64.0,False,"{'acousticness': 0.653, 'genres': [], 'artist_img': u'https://i.scdn.co/image/b68f1f5e71a2af8bfff491edd53ab134422586ce', 'song_uri': u'spotify:track:25L7DvNU798tfl5SgKgnt1', 'exact_song_match': False, 'song_name': u'We Gotta Get Out Of This Place (US Version)', 'liveness': 0.16, 'tempo': 124.269, 'preview_url': u'https://p.scdn.co/mp3-preview/8a4636357cb0871418c5b2ce9992e5be5781068b', 'artist_name': u'The Animals', 'artist_uri': u'spotify:artist:3ICflSq6ZgYAIrm2CTkfVP', 'song_pop': 40, 'artist_pop': 64, 'instrumentalness': 1.31e-06, 'key': 5, 'duration_ms': 192426, 'loudness': -7.459, 'valence': 0.47, 'energy': 0.555, 'danceability': 0.543}",spotify:artist:3ICflSq6ZgYAIrm2CTkfVP,https://p.scdn.co/mp3-preview/8a4636357cb0871418c5b2ce9992e5be5781068b,192426.0,0.653,0.555,1.31e-06,5.0,F,0.16,-7.459,124.269,0.47,0.543,The Animals,People and places,http://open.spotify.com/track/385Z5UTDZvJMvhOAiURcHY,We Gotta Get Out of This Place,1965
764,[],https://i.scdn.co/image/7365e6f08593a72384042cd0363e34d7a119a70f,spotify:track:6HY67ZRBRQEpYal8RIdlPt,0.0,6.0,False,"{'acousticness': 0.0435, 'genres': [], 'artist_img': u'https://i.scdn.co/image/7365e6f08593a72384042cd0363e34d7a119a70f', 'song_uri': u'spotify:track:6HY67ZRBRQEpYal8RIdlPt', 'exact_song_match': False, 'song_name': u'Re Rewind', 'liveness': 0.0806, 'tempo': 104.991, 'preview_url': u'https://p.scdn.co/mp3-preview/5e0f0972d53c43263f53cca4efbeadbd259544da', 'artist_name': u'Jabari', 'artist_uri': u'spotify:artist:2LsEiNsJkNpl5ZUsCUiXMi', 'song_pop': 0, 'artist_pop': 6, 'instrumentalness': 0.661, 'key': 1, 'duration_ms': 242285, 'loudness': -2.312, 'valence': 0.356, 'energy': 0.902, 'danceability': 0.764}",spotify:artist:2LsEiNsJkNpl5ZUsCUiXMi,https://p.scdn.co/mp3-preview/5e0f0972d53c43263f53cca4efbeadbd259544da,242285.0,0.0435,0.902,0.661,1.0,C#,0.0806,-2.312,104.991,0.356,0.764,The Artful Dodger featuring Craig David,Party songs,http://open.spotify.com/track/0rKbtHLiAeta9tnONNYlAC,Re-Rewind,1999
765,[],https://i.scdn.co/image/63b49953253fcb767ad24db148726457dbdf23ad,spotify:track:4W4wYHtsrgDiivRASVOINL,59.0,57.0,True,"{'acousticness': 0.0535, 'genres': [], 'artist_img': u'https://i.scdn.co/image/63b49953253fcb767ad24db148726457dbdf23ad', 'song_uri': u'spotify:track:4W4wYHtsrgDiivRASVOINL', 'exact_song_match': True, 'song_name': u'Love Shack', 'liveness': 0.709, 'tempo': 133.607, 'preview_url': u'https://p.scdn.co/mp3-preview/c66686108383c8fc9223d3aa09040cdd91c5338b', 'artist_name': u""The B-52's"", 'artist_uri': u'spotify:artist:3gdbcIdNypBsYNu3iiCjtN', 'song_pop': 59, 'artist_pop': 57, 'instrumentalness': 1.67e-06, 'key': 5, 'duration_ms': 320680, 'loudness': -6.786, 'valence': 0.898, 'energy': 0.802, 'danceability': 0.7}",spotify:artist:3gdbcIdNypBsYNu3iiCjtN,https://p.scdn.co/mp3-preview/c66686108383c8fc9223d3aa09040cdd91c5338b,320680.0,0.0535,0.802,1.67e-06,5.0,F,0.709,-6.786,133.607,0.898,0.7,The B-52's,Party songs,http://open.spotify.com/track/0OyTSpN4gGPSIDuGbKzMEu,Love Shack,1989
766,[],https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1,spotify:track:3mExBX39jPSfsEveZDxbpc,24.0,71.0,True,"{'acousticness': 0.763, 'genres': [], 'artist_img': u'https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1', 'song_uri': u'spotify:track:3mExBX39jPSfsEveZDxbpc', 'exact_song_match': True, 'song_name': u'A Day in the Life of a Tree', 'liveness': 0.0696, 'tempo': 103.572, 'preview_url': u'https://p.scdn.co/mp3-preview/3243f22b03defb2a3bf3b030a01b3f66af6d69d2', 'artist_name': u'The Beach Boys', 'artist_uri': u'spotify:artist:3oDbviiivRWhXwIE8hxkVV', 'song_pop': 24, 'artist_pop': 71, 'instrumentalness': 0.0625, 'key': 1, 'duration_ms': 188826, 'loudness': -18.349, 'valence': 0.0362, 'energy': 0.0994, 'danceability': 0.267}",spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://p.scdn.co/mp3-preview/3243f22b03defb2a3bf3b030a01b3f66af6d69d2,188826.0,0.763,0.0994,0.0625,1.0,C#,0.0696,-18.349,103.572,0.0362,0.267,The Beach Boys,Politics and protest,http://open.spotify.com/track/69PvvnBElTbIFHVt9ue58Q,A Day in the Life of a Tree,1971
767,[],https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1,spotify:track:6iGU74CwXuT4XVepjc9Emf,62.0,71.0,False,"{'acousticness': 0.253, 'genres': [], 'artist_img': u'https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1', 'song_uri': u'spotify:track:6iGU74CwXuT4XVepjc9Emf', 'exact_song_match': False, 'song_name': u'God Only Knows - 1997 - Remaster', 'liveness': 0.0579, 'tempo': 117.072, 'preview_url': u'https://p.scdn.co/mp3-preview/9f506e766952b771dd69cae2d1a61aacf20ebaa0', 'artist_name': u'The Beach Boys', 'artist_uri': u'spotify:artist:3oDbviiivRWhXwIE8hxkVV', 'song_pop': 62, 'artist_pop': 71, 'instrumentalness': 0, 'key': 6, 'duration_ms': 173040, 'loudness': -7.525, 'valence': 0.448, 'energy': 0.487, 'danceability': 0.521}",spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://p.scdn.co/mp3-preview/9f506e766952b771dd69cae2d1a61aacf20ebaa0,173040.0,0.253,0.487,0.0,6.0,F#,0.0579,-7.525,117.072,0.448,0.521,The Beach Boys,Love,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP,God Only Knows,1966
768,[],https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,63.0,71.0,True,"{'acousticness': 0.326, 'genres': [], 'artist_img': u'https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1', 'song_uri': u'spotify:track:5t9KYe0Fhd5cW6UYT4qP8f', 'exact_song_match': True, 'song_name': u'Good Vibrations', 'liveness': 0.109, 'tempo': 133.449, 'preview_url': u'https://p.scdn.co/mp3-preview/ba9868a557bdee4ef0c5f90e8bd75bb2affa9532', 'artist_name': u'The Beach Boys', 'artist_uri': u'spotify:artist:3oDbviiivRWhXwIE8hxkVV', 'song_pop': 63, 'artist_pop': 71, 'instrumentalness': 0.000124, 'key': 10, 'duration_ms': 219026, 'loudness': -7.67, 'valence': 0.358, 'energy': 0.473, 'danceability': 0.396}",spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://p.scdn.co/mp3-preview/ba9868a557bdee4ef0c5f90e8bd75bb2affa9532,219026.0,0.326,0.473,0.000124,10.0,A#,0.109,-7.67,133.449,0.358,0.396,The Beach Boys,Love,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4,Good Vibrations,1966
769,[],https://i.scdn.co/image/31ea85b86d6eb53e8d979a6af9330ed9c1f3d139,spotify:track:0mXtFEKYNLOB1NPL0nou73,0.0,13.0,False,"{'acousticness': 0.417, 'genres': [], 'artist_img': u'https://i.scdn.co/image/31ea85b86d6eb53e8d979a6af9330ed9c1f3d139', 'song_uri': u'spotify:track:0mXtFEKYNLOB1NPL0nou73', 'exact_song_match': False, 'song_name': u'Wouldn`t It Be Nice (Originally Performed by The Beach Boys) - Karaoke Version', 'liveness': 0.078, 'tempo': 124.119, 'preview_url': u'https://p.scdn.co/mp3-preview/96f4f3aa3b06a230ae85a88e53e65490b3816e06', 'artist_name': u'Tom Arte', 'artist_uri': u'spotify:artist:0gUEO4bKxsDWgiY5q3KkDY', 'song_pop': 0, 'artist_pop': 13, 'instrumentalness': 0.968, 'key': 5, 'duration_ms': 152013, 'loudness': -9.394, 'valence': 0.807, 'energy': 0.663, 'danceability': 0.418}",spotify:artist:0gUEO4bKxsDWgiY5q3KkDY,https://p.scdn.co/mp3-preview/96f4f3aa3b06a230ae85a88e53e65490b3816e06,152013.0,0.417,0.663,0.968,5.0,F,0.078,-9.394,124.119,0.807,0.418,The Beach Boys,Love,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y,Wouldn't It Be Nice,1966
770,[],https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1,spotify:track:4T5SR1krNuVLOnxSjYb8nW,36.0,71.0,True,"{'acousticness': 0.222, 'genres': [], 'artist_img': u'https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1', 'song_uri': u'spotify:track:4T5SR1krNuVLOnxSjYb8nW', 'exact_song_match': True, 'song_name': u'Fun, Fun, Fun', 'liveness': 0.107, 'tempo': 154.177, 'preview_url': u'https://p.scdn.co/mp3-preview/1d21b2cb873ad8dcd145c5cbb982f1cb2f56d514', 'artist_name': u'The Beach Boys', 'artist_uri': u'spotify:artist:3oDbviiivRWhXwIE8hxkVV', 'song_pop': 36, 'artist_pop': 71, 'instrumentalness': 0, 'key': 3, 'duration_ms': 136760, 'loudness': -8.953, 'valence': 0.966, 'energy': 0.701, 'danceability': 0.52}",spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://p.scdn.co/mp3-preview/1d21b2cb873ad8dcd145c5cbb982f1cb2f56d514,136760.0,0.222,0.701,0.0,3.0,D#,0.107,-8.953,154.177,0.966,0.52,The Beach Boys,People and places,http://open.spotify.com/track/0kRivH04RZLdKhD5wX1h1D,"Fun, Fun, Fun",1964
771,[],https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1,spotify:track:62fX8EW16l8St2yL8rMer9,38.0,71.0,True,"{'acousticness': 0.184, 'genres': [], 'artist_img': u'https://i.scdn.co/image/6df67ef68e08b052eb1a816422ab82ba95927bd1', 'song_uri': u'spotify:track:62fX8EW16l8St2yL8rMer9', 'exact_song_match': True, 'song_name': u'In My Room', 'liveness': 0.0917, 'tempo': 102.886, 'preview_url': u'https://p.scdn.co/mp3-preview/46c6b1457503cc5cda4ab5afb78d6eb457ea1190', 'artist_name': u'The Beach Boys', 'artist_uri': u'spotify:artist:3oDbviiivRWhXwIE8hxkVV', 'song_pop': 38, 'artist_pop': 71, 'instrumentalness': 6.28e-05, 'key': 11, 'duration_ms': 134133, 'loudness': -9.574, 'valence': 0.477, 'energy': 0.416, 'danceability': 0.341}",spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://p.scdn.co/mp3-preview/46c6b1457503cc5cda4ab5afb78d6eb457ea1190,134133.0,0.184,0.416,6.28e-05,11.0,B,0.0917,-9.574,102.886,0.477,0.341,The Beach Boys,Life and death,http://open.spotify.com/track/0sL9QSjcOMNdU829l7pNb0,In My Room,1963
772,[],https://i.scdn.co/image/feb9305bba65677a3f880c93351f8ba992546cdd,spotify:track:6ydSAFGRHDVJKy8Ef7PkRL,21.0,43.0,False,"{'acousticness': 0.021, 'genres': [], 'artist_img': u'https://i.scdn.co/image/feb9305bba65677a3f880c93351f8ba992546cdd', 'song_uri': u'spotify:track:6ydSAFGRHDVJKy8Ef7PkRL', 'exact_song_match': False, 'song_name': u'Whine and Grine/Stand Down Margaret', 'liveness': 0.151, 'tempo': 170.419, 'preview_url': u'https://p.scdn.co/mp3-preview/b7727829a1b84c8fbb55d2e086231f3ba28af317', 'artist_name': u'The English Beat', 'artist_uri': u'spotify:artist:1eVEVL20zNLcGrPDOR691N', 'song_pop': 21, 'artist_pop': 43, 'instrumentalness': 0.000152, 'key': 7, 'duration_ms': 226653, 'loudness': -11.871, 'valence': 0.758, 'energy': 0.639, 'danceability': 0.743}",spotify:artist:1eVEVL20zNLcGrPDOR691N,https://p.scdn.co/mp3-preview/b7727829a1b84c8fbb55d2e086231f3ba28af317,226653.0,0.021,0.639,0.000152,7.0,G,0.151,-11.871,170.419,0.758,0.743,The Beat,Politics and protest,http://open.spotify.com/track/3Yhr8WrFPnwBFwxhFLUwzh,Stand Down Margaret,1980
