,Unnamed: 0,artist,subgenre,genre,master_genre
176,176,Little Big Town,contemporary country,Country music,Country music
177,177,Little Big Town,country,Country music,Country music
178,178,Little Big Town,country christmas,Country music,Country music
179,179,Little Big Town,country dawn,Country music,Country music
180,180,Little Big Town,country road,Country music,Country music
181,181,Little Big Town,modern country rock,Rock music,Country music
182,182,Trey Songz,dance pop,Pop music,Pop music
183,183,Trey Songz,hip pop,Pop music,Pop music
184,184,Trey Songz,indie r&b,Alternative rock,Pop music
185,185,Trey Songz,pop,Pop music,Pop music
186,186,Trey Songz,pop christmas,Pop music,Pop music
187,187,Trey Songz,pop rap,Pop music,Pop music
188,188,Trey Songz,r&b,,Pop music
189,189,Trey Songz,rap,Hip hop,Pop music
190,190,Trey Songz,southern hip hop,Hip hop,Pop music
191,191,Trey Songz,trap music,Rock music,Pop music
192,192,Trey Songz,urban contemporary,Gospel music,Pop music
193,193,One Direction,boy band,Pop music,Pop music
194,194,One Direction,dance pop,Pop music,Pop music
195,195,One Direction,pop,Pop music,Pop music
196,196,One Direction,post-teen pop,Pop music,Pop music
197,197,One Direction,talent show,,Pop music
198,198,Ariana Grande,dance pop,Pop music,Pop music
199,199,Ariana Grande,pop,Pop music,Pop music
200,200,Ariana Grande,pop christmas,Pop music,Pop music
201,201,Ariana Grande,post-teen pop,Pop music,Pop music
202,202,Meek Mill,dirty south rap,Hip hop,Hip hop
203,203,Meek Mill,gangster rap,Hip hop,Hip hop
204,204,Meek Mill,hip hop,Hip hop,Hip hop
205,205,Meek Mill,pop rap,Pop music,Hip hop
206,206,Meek Mill,rap,Hip hop,Hip hop
207,207,Meek Mill,southern hip hop,Hip hop,Hip hop
208,208,Meek Mill,trap music,Rock music,Hip hop
209,209,Rae Sremmurd,pop rap,Pop music,Hip hop
210,210,Rae Sremmurd,rap,Hip hop,Hip hop
211,211,Rae Sremmurd,southern hip hop,Hip hop,Hip hop
212,212,Rae Sremmurd,trap music,Rock music,Hip hop
213,213,Vance Joy,folk-pop,,Alternative rock
214,214,Vance Joy,indie folk,Alternative rock,Alternative rock
215,215,Vance Joy,pop,Pop music,Alternative rock
216,216,Jidenna,rap,Hip hop,Hip hop
217,217,Elle King,pop,Pop music,Pop music
218,218,Charlie Puth,pop,Pop music,Pop music
219,219,Charlie Puth,viral pop,Pop music,Pop music
220,220,James Newton Howard,soundtrack,,
221,221,O.T. Genasis,pop rap,Pop music,Hip hop
222,222,O.T. Genasis,rap,Hip hop,Hip hop
223,223,O.T. Genasis,southern hip hop,Hip hop,Hip hop
224,224,O.T. Genasis,trap music,Rock music,Hip hop
225,225,"Jessie J, Ariana Grande and Nicki Minaj",dance pop,Pop music,Pop music
226,226,"Jessie J, Ariana Grande and Nicki Minaj",hip pop,Pop music,Pop music
227,227,"Jessie J, Ariana Grande and Nicki Minaj",pop,Pop music,Pop music
228,228,"Jessie J, Ariana Grande and Nicki Minaj",pop rap,Pop music,Pop music
229,229,"Jessie J, Ariana Grande and Nicki Minaj",post-teen pop,Pop music,Pop music
230,230,"Jessie J, Ariana Grande and Nicki Minaj",r&b,,Pop music
231,231,"Jessie J, Ariana Grande and Nicki Minaj",talent show,,Pop music
232,232,"Jessie J, Ariana Grande and Nicki Minaj",urban contemporary,Gospel music,Pop music
233,233,iLoveMakonnen,indie r&b,Alternative rock,Hip hop
234,234,iLoveMakonnen,pop rap,Pop music,Hip hop
235,235,iLoveMakonnen,rap,Hip hop,Hip hop
236,236,iLoveMakonnen,southern hip hop,Hip hop,Hip hop
237,237,iLoveMakonnen,trap music,Rock music,Hip hop
238,238,iLoveMemphis,dwn trap,,Rock music
239,239,iLoveMemphis,trap music,Rock music,Rock music
240,240,Macklemore and Ryan Lewis,pop,Pop music,Pop music
241,241,Macklemore and Ryan Lewis,pop rap,Pop music,Pop music
242,242,Luke Bryan,contemporary country,Country music,Country music
243,243,Luke Bryan,country,Country music,Country music
244,244,Luke Bryan,country christmas,Country music,Country music
245,245,Luke Bryan,country road,Country music,Country music
246,246,George Ezra,neo-singer-songwriter,,Pop music
247,247,George Ezra,pop,Pop music,Pop music
248,248,Kelly Clarkson,dance pop,Pop music,Pop music
249,249,Kelly Clarkson,neo mellow,Alternative rock,Pop music
250,250,Kelly Clarkson,pop,Pop music,Pop music
251,251,Kelly Clarkson,pop christmas,Pop music,Pop music
252,252,Kelly Clarkson,pop rock,Pop music,Pop music
253,253,Kelly Clarkson,post-teen pop,Pop music,Pop music
254,254,Kelly Clarkson,r&b,,Pop music
255,255,Kelly Clarkson,talent show,,Pop music
256,256,Ella Henderson,pop,Pop music,Pop music
257,257,Ella Henderson,post-teen pop,Pop music,Pop music
258,258,Ella Henderson,talent show,,Pop music
259,259,Alessia Cara,pop,Pop music,Pop music
260,260,Mr. Probz,pop,Pop music,Pop music
261,261,Mr. Probz,tropical house,House music,Pop music
262,262,Nicky Jam and Enrique Iglesias,latin,Latin music,Rock music
263,263,Nicky Jam and Enrique Iglesias,latin hip hop,Hip hop,Rock music
264,264,Nicky Jam and Enrique Iglesias,reggaeton,Fusion music,Rock music
265,265,Nicky Jam and Enrique Iglesias,tropical,Rock music,Rock music
266,266,Ne-Yo,alternative r&b,Alternative rock,Pop music
267,267,Ne-Yo,dance pop,Pop music,Pop music
268,268,Ne-Yo,hip pop,Pop music,Pop music
269,269,Ne-Yo,pop,Pop music,Pop music
270,270,Ne-Yo,pop christmas,Pop music,Pop music
271,271,Ne-Yo,pop rap,Pop music,Pop music
272,272,Ne-Yo,r&b,,Pop music
273,273,Ne-Yo,rap,Hip hop,Pop music
274,274,Ne-Yo,southern hip hop,Hip hop,Pop music
275,275,Ne-Yo,urban contemporary,Gospel music,Pop music
276,276,Pharrell Williams,dance pop,Pop music,Pop music
277,277,Pharrell Williams,hip hop,Hip hop,Pop music
278,278,Pharrell Williams,hip pop,Pop music,Pop music
279,279,Pharrell Williams,pop,Pop music,Pop music
280,280,Pharrell Williams,pop rap,Pop music,Pop music
281,281,Pharrell Williams,r&b,,Pop music
282,282,Pharrell Williams,rap,Hip hop,Pop music
283,283,Pharrell Williams,southern hip hop,Hip hop,Pop music
284,284,Pharrell Williams,tropical house,House music,Pop music
285,285,Pharrell Williams,urban contemporary,Gospel music,Pop music
286,286,Katy Perry,dance pop,Pop music,Pop music
287,287,Katy Perry,pop,Pop music,Pop music
288,288,Katy Perry,pop christmas,Pop music,Pop music
289,289,Katy Perry,pop rap,Pop music,Pop music
290,290,Katy Perry,pop rock,Pop music,Pop music
291,291,Katy Perry,post-teen pop,Pop music,Pop music
292,292,John Legend,hip pop,Pop music,Pop music
293,293,John Legend,neo soul,Jazz,Pop music
294,294,John Legend,pop,Pop music,Pop music
295,295,John Legend,pop christmas,Pop music,Pop music
296,296,John Legend,pop rap,Pop music,Pop music
297,297,John Legend,r&b,,Pop music
298,298,John Legend,rap,Hip hop,Pop music
299,299,John Legend,soul christmas,Jazz,Pop music
300,300,John Legend,urban contemporary,Gospel music,Pop music
301,301,Iggy Azalea,dance pop,Pop music,Pop music
302,302,Iggy Azalea,hip pop,Pop music,Pop music
303,303,Iggy Azalea,pop,Pop music,Pop music
304,304,Iggy Azalea,post-teen pop,Pop music,Pop music
305,305,OneRepublic,dance pop,Pop music,Pop music
306,306,OneRepublic,piano rock,Pop music,Pop music
307,307,OneRepublic,pop,Pop music,Pop music
308,308,OneRepublic,pop christmas,Pop music,Pop music
309,309,OneRepublic,pop rock,Pop music,Pop music
310,310,MAGIC!,pop,Pop music,Pop music
311,311,Pitbull,dance pop,Pop music,Pop music
312,312,Pitbull,latin,Latin music,Pop music
313,313,Pitbull,pop,Pop music,Pop music
314,314,Pitbull,pop rap,Pop music,Pop music
315,315,Bastille,folk-pop,,Pop music
316,316,Bastille,metropopolis,,Pop music
317,317,Bastille,pop,Pop music,Pop music
318,318,Nico and Vinz,norwegian pop,Pop music,Pop music
319,319,Nico and Vinz,pop,Pop music,Pop music
320,320,Nico and Vinz,post-teen pop,Pop music,Pop music
321,321,Nico and Vinz,tropical house,House music,Pop music
322,322,Eminem,detroit hip hop,Hip hop,Hip hop
323,323,Eminem,g funk,Rock music,Hip hop
324,324,Eminem,hip hop,Hip hop,Hip hop
325,325,Eminem,pop rap,Pop music,Hip hop
326,326,Eminem,rap,Hip hop,Hip hop
327,327,Lorde,metropopolis,,Pop music
328,328,Lorde,pop,Pop music,Pop music
329,329,Passenger,folk-pop,,Alternative rock
330,330,Passenger,neo mellow,Alternative rock,Alternative rock
331,331,Passenger,pop,Pop music,Alternative rock
332,332,Idina Menzel,christmas,,Pop music
333,333,Idina Menzel,hollywood,,Pop music
334,334,Idina Menzel,pop christmas,Pop music,Pop music
335,335,Idina Menzel,show tunes,,Pop music
336,336,Avicii,big room,Jazz,House music
337,337,Avicii,edm,Blues music,House music
338,338,Avicii,electro house,House music,House music
339,339,Avicii,house,House music,House music
340,340,Avicii,pop,Pop music,House music
341,341,Avicii,progressive house,Progressive music,House music
342,342,Avicii,tropical house,House music,House music
343,343,Imagine Dragons,pop,Pop music,Alternative rock
344,344,Imagine Dragons,vegas indie,Alternative rock,Alternative rock
345,345,"Jessie J, Ariana Grande & Nicki Minaj",dance pop,Pop music,Pop music
346,346,"Jessie J, Ariana Grande & Nicki Minaj",hip pop,Pop music,Pop music
347,347,"Jessie J, Ariana Grande & Nicki Minaj",pop,Pop music,Pop music
348,348,"Jessie J, Ariana Grande & Nicki Minaj",pop rap,Pop music,Pop music
349,349,"Jessie J, Ariana Grande & Nicki Minaj",post-teen pop,Pop music,Pop music
350,350,"Jessie J, Ariana Grande & Nicki Minaj",r&b,,Pop music
351,351,"Jessie J, Ariana Grande & Nicki Minaj",talent show,,Pop music
352,352,"Jessie J, Ariana Grande & Nicki Minaj",urban contemporary,Gospel music,Pop music
353,353,Disclosure,indie r&b,Alternative rock,Alternative rock
354,354,Disclosure,pop,Pop music,Alternative rock
355,355,Disclosure,tropical house,House music,Alternative rock
356,356,Chris Brown,dance pop,Pop music,Pop music
357,357,Chris Brown,pop,Pop music,Pop music
358,358,Chris Brown,pop christmas,Pop music,Pop music
359,359,Chris Brown,pop rap,Pop music,Pop music
360,360,Chris Brown,r&b,,Pop music
361,361,Chris Brown,rap,Hip hop,Pop music
362,362,Chris Brown,soul christmas,Jazz,Pop music
363,363,American Authors,brooklyn indie,Alternative rock,Alternative rock
364,364,American Authors,pop,Pop music,Alternative rock
365,365,Calvin Harris,dance pop,Pop music,Pop music
366,366,Calvin Harris,edm,Blues music,Pop music
367,367,Calvin Harris,electro house,House music,Pop music
368,368,Calvin Harris,house,House music,Pop music
369,369,Calvin Harris,pop,Pop music,Pop music
370,370,Charli XCX,candy pop,Pop music,Pop music
371,371,Charli XCX,dance pop,Pop music,Pop music
372,372,Charli XCX,indie r&b,Alternative rock,Pop music
373,373,Charli XCX,metropopolis,,Pop music
374,374,Charli XCX,pop,Pop music,Pop music
375,375,Charli XCX,post-teen pop,Pop music,Pop music
376,376,Charli XCX,tropical house,House music,Pop music
377,377,Enrique Iglesias,dance pop,Pop music,Pop music
378,378,Enrique Iglesias,latin,Latin music,Pop music
379,379,Enrique Iglesias,latin pop,Pop music,Pop music
380,380,Enrique Iglesias,pop,Pop music,Pop music
381,381,Enrique Iglesias,tropical,Rock music,Pop music
382,382,Clean Bandit,pop,Pop music,Pop music
383,383,Clean Bandit,tropical house,House music,Pop music
384,384,Clean Bandit,uk funky,Electronic music,Pop music
385,385,Jeremih,dance pop,Pop music,Pop music
386,386,Jeremih,pop,Pop music,Pop music
387,387,Jeremih,pop christmas,Pop music,Pop music
388,388,Jeremih,pop rap,Pop music,Pop music
389,389,Jeremih,rap,Hip hop,Pop music
390,390,Jeremih,southern hip hop,Hip hop,Pop music
391,391,Jeremih,trap music,Rock music,Pop music
392,392,Kid Ink,hip hop,Hip hop,Hip hop
393,393,Kid Ink,pop rap,Pop music,Hip hop
394,394,Kid Ink,rap,Hip hop,Hip hop
395,395,Kid Ink,southern hip hop,Hip hop,Hip hop
396,396,Kid Ink,trap music,Rock music,Hip hop
397,397,Miley Cyrus,dance pop,Pop music,Pop music
398,398,Miley Cyrus,pop,Pop music,Pop music
399,399,Miley Cyrus,pop christmas,Pop music,Pop music
400,400,Miley Cyrus,post-teen pop,Pop music,Pop music
401,401,Justin Timberlake,boy band,Pop music,Pop music
402,402,Justin Timberlake,dance pop,Pop music,Pop music
403,403,Justin Timberlake,pop,Pop music,Pop music
404,404,Justin Timberlake,pop rap,Pop music,Pop music
405,405,Justin Timberlake,post-teen pop,Pop music,Pop music
406,406,Justin Timberlake,r&b,,Pop music
407,407,Justin Timberlake,rap,Hip hop,Pop music
408,408,Paramore,candy pop,Pop music,Pop music
409,409,Paramore,emo,Punk rock,Pop music
410,410,Paramore,pop emo,Pop music,Pop music
411,411,Paramore,pop punk,Pop music,Pop music
412,412,Paramore,post-teen pop,Pop music,Pop music
413,413,Aloe Blacc,funk,Jazz,Jazz
414,414,Aloe Blacc,indie r&b,Alternative rock,Jazz
415,415,Aloe Blacc,neo soul,Jazz,Jazz
416,416,Aloe Blacc,pop,Pop music,Jazz
417,417,Aloe Blacc,pop rap,Pop music,Jazz
418,418,Aloe Blacc,soul,Jazz,Jazz
419,419,Florida Georgia Line,contemporary country,Country music,Country music
420,420,Florida Georgia Line,country road,Country music,Country music
421,421,Florida Georgia Line,modern country rock,Rock music,Country music
422,422,Mkto,pop,Pop music,Pop music
423,423,Mkto,post-teen pop,Pop music,Pop music
424,424,Coldplay,permanent wave,Electronic music,Pop music
425,425,Coldplay,pop,Pop music,Pop music
426,426,Coldplay,pop christmas,Pop music,Pop music
427,427,Coldplay,rock,Rock music,Pop music
428,428,Bobby Shmurda,pop rap,Pop music,Hip hop
429,429,Bobby Shmurda,rap,Hip hop,Hip hop
430,430,Bobby Shmurda,southern hip hop,Hip hop,Hip hop
431,431,Bobby Shmurda,trap music,Rock music,Hip hop
432,432,Yg,hip hop,Hip hop,Hip hop
433,433,Yg,pop rap,Pop music,Hip hop
434,434,Yg,rap,Hip hop,Hip hop
435,435,Yg,southern hip hop,Hip hop,Hip hop
436,436,Yg,trap music,Rock music,Hip hop
437,437,Echosmith,pop,Pop music,Pop music
438,438,Echosmith,pop christmas,Pop music,Pop music
439,439,Jason Aldean,contemporary country,Country music,Country music
440,440,Jason Aldean,country,Country music,Country music
441,441,Jason Aldean,country road,Country music,Country music
442,442,Tinashe,hip pop,Pop music,Pop music
443,443,Tinashe,indie r&b,Alternative rock,Pop music
444,444,Tinashe,metropopolis,,Pop music
445,445,Tinashe,pop,Pop music,Pop music
446,446,Tinashe,r&b,,Pop music
447,447,Tinashe,rap,Hip hop,Pop music
448,448,Tinashe,trap music,Rock music,Pop music
449,449,Brantley Gilbert,contemporary country,Country music,Country music
450,450,Brantley Gilbert,country,Country music,Country music
451,451,Brantley Gilbert,country road,Country music,Country music
452,452,Brantley Gilbert,modern country rock,Rock music,Country music
453,453,Becky G,dance pop,Pop music,Pop music
454,454,Becky G,pop,Pop music,Pop music
455,455,Becky G,post-teen pop,Pop music,Pop music
456,456,Rixton,pop,Pop music,Pop music
457,457,Rixton,post-teen pop,Pop music,Pop music
458,458,Martin Garrix,big room,Jazz,Jazz
459,459,Martin Garrix,edm,Blues music,Jazz
460,460,Rich Gang,pop rap,Pop music,Hip hop
461,461,Rich Gang,rap,Hip hop,Hip hop
462,462,Rich Gang,southern hip hop,Hip hop,Hip hop
463,463,Rich Gang,trap music,Rock music,Hip hop
464,464,Kenny Chesney,contemporary country,Country music,Country music
465,465,Kenny Chesney,country,Country music,Country music
466,466,Kenny Chesney,country christmas,Country music,Country music
467,467,Kenny Chesney,country road,Country music,Country music
468,468,Kenny Chesney,pop christmas,Pop music,Country music
469,469,Sara Bareilles,folk christmas,Pop music,Pop music
470,470,Sara Bareilles,folk-pop,,Pop music
471,471,Sara Bareilles,lilith,,Pop music
472,472,Sara Bareilles,neo mellow,Alternative rock,Pop music
473,473,Sara Bareilles,pop,Pop music,Pop music
474,474,Sara Bareilles,pop christmas,Pop music,Pop music
475,475,Sara Bareilles,pop rock,Pop music,Pop music
476,476,Sara Bareilles,post-teen pop,Pop music,Pop music
477,477,The Neighbourhood,indie pop,Pop music,Pop music
478,478,The Neighbourhood,indietronica,,Pop music
479,479,The Neighbourhood,shimmer pop,Pop music,Pop music
480,480,Michael Jackson and Justin Timberlake,dance pop,Pop music,Pop music
481,481,Michael Jackson and Justin Timberlake,funk rock,Fusion music,Pop music
482,482,Michael Jackson and Justin Timberlake,mellow gold,,Pop music
483,483,Michael Jackson and Justin Timberlake,pop,Pop music,Pop music
484,484,Michael Jackson and Justin Timberlake,pop christmas,Pop music,Pop music
485,485,Michael Jackson and Justin Timberlake,r&b,,Pop music
486,486,Michael Jackson and Justin Timberlake,soft rock,Rock music,Pop music
487,487,Michael Jackson and Justin Timberlake,urban contemporary,Gospel music,Pop music
488,488,Dierks Bentley,contemporary country,Country music,Country music
489,489,Dierks Bentley,country,Country music,Country music
490,490,Dierks Bentley,country road,Country music,Country music
491,491,Lady Antebellum,contemporary country,Country music,Country music
492,492,Lady Antebellum,country,Country music,Country music
493,493,Lady Antebellum,country christmas,Country music,Country music
494,494,Lady Antebellum,country dawn,Country music,Country music
495,495,Lady Antebellum,country road,Country music,Country music
496,496,Lady Antebellum,pop christmas,Pop music,Country music
497,497,Naughty Boy,pop,Pop music,Pop music
498,498,Naughty Boy,tropical house,House music,Pop music
499,499,Robin Thicke,dance pop,Pop music,Pop music
500,500,Robin Thicke,hip pop,Pop music,Pop music
501,501,Robin Thicke,indie r&b,Alternative rock,Pop music
502,502,Robin Thicke,neo soul,Jazz,Pop music
503,503,Robin Thicke,pop,Pop music,Pop music
504,504,Robin Thicke,pop rap,Pop music,Pop music
505,505,Robin Thicke,post-teen pop,Pop music,Pop music
506,506,Robin Thicke,r&b,,Pop music
507,507,Robin Thicke,soul,Jazz,Pop music
508,508,Robin Thicke,urban contemporary,Gospel music,Pop music
509,509,Lady Gaga,dance pop,Pop music,Pop music
510,510,Lady Gaga,pop,Pop music,Pop music
511,511,Lady Gaga,pop christmas,Pop music,Pop music
512,512,Lady Gaga,post-teen pop,Pop music,Pop music
513,513,Lady Gaga,r&b,,Pop music
514,514,Shakira,dance pop,Pop music,Pop music
515,515,Shakira,latin,Latin music,Pop music
516,516,Shakira,latin pop,Pop music,Pop music
517,517,Shakira,pop,Pop music,Pop music
518,518,Shakira,pop rap,Pop music,Pop music
519,519,5 Seconds Of Summer,pop,Pop music,Pop music
